DrawNumber,Number1,Number2,Number3,Number4,Number5,Number6,Bonus,Power,Strike1,Strike2,Strike3,Strike4
1513,05,10,11,14,15,18,37,07,10,15,14,05
1514,08,28,30,34,36,37,14,04,36,37,34,30
1515,11,12,13,17,18,19,07,05,18,17,13,19
1516,03,07,08,09,17,35,10,09,08,17,07,09
1517,03,10,20,24,30,33,25,09,03,10,24,33
1518,05,11,20,22,31,33,24,06,31,22,05,33
1519,02,05,17,19,20,29,24,05,02,17,19,29
1520,14,15,18,22,30,33,19,01,22,33,30,15
1521,05,11,21,22,26,35,06,09,35,26,05,11
1522,01,05,08,17,29,35,24,01,17,01,08,05
1523,09,15,16,17,18,28,21,04,16,18,15,17
1524,07,09,12,15,21,25,08,02,15,25,12,09
1525,08,09,18,23,37,39,11,05,09,39,37,18
1526,01,05,07,12,24,38,17,01,07,01,38,12
1527,06,12,16,18,31,37,10,07,06,12,31,16
1528,09,12,14,18,35,36,39,02,35,36,12,09
1529,12,13,22,23,24,27,01,10,27,12,22,13
1530,07,10,13,21,28,31,30,03,28,10,07,13
1531,07,22,27,28,36,40,09,10,28,07,40,27
1532,01,05,09,22,30,35,08,01,22,05,09,35
1533,04,14,15,17,29,36,19,07,36,17,29,15
1534,03,04,19,20,28,35,25,04,04,28,35,19
1535,02,03,09,12,21,26,17,08,03,09,12,21
1536,19,21,24,26,30,37,02,07,21,26,30,37
1537,01,12,15,20,29,32,10,08,12,32,15,29
1538,11,20,22,23,31,36,03,01,20,11,36,22
1539,03,13,19,26,39,40,35,04,19,40,13,26
1540,12,13,19,25,32,38,27,04,25,13,19,32
1541,09,15,22,27,32,40,33,02,27,15,09,40
1542,03,06,13,18,34,40,15,01,18,40,03,13
1543,14,20,23,25,30,38,09,02,30,14,23,25
1544,08,11,24,26,27,37,39,08,08,37,11,26
1545,13,19,29,30,32,40,31,02,40,13,19,32
1546,06,09,29,32,33,40,05,01,32,33,06,29
1547,07,12,14,18,31,32,15,09,12,07,14,32
1548,07,19,20,32,33,35,08,04,33,35,20,07
1549,16,21,24,32,39,40,01,01,40,16,39,24
1550,01,02,07,16,17,18,13,07,17,02,01,18
1551,08,24,28,30,32,36,06,06,08,24,28,30
1552,02,17,23,33,34,36,24,05,34,17,33,23
1553,09,10,13,14,25,37,22,06,37,10,09,13
1554,15,19,21,24,25,29,05,04,19,24,15,25
1555,01,06,07,25,31,32,35,06,01,32,31,25
1556,05,06,13,20,28,39,12,03,05,28,20,13
1557,01,06,12,14,29,30,32,09,29,30,01,06
1558,03,18,27,29,33,37,36,07,29,27,37,18
1559,04,14,16,17,22,32,18,02,22,32,14,04
1560,08,10,24,26,30,40,23,08,24,26,30,08
1561,06,15,25,34,38,39,09,02,06,38,25,39
1562,05,06,09,21,25,33,24,01,25,21,33,09
1563,03,07,18,20,22,30,31,06,30,03,07,20
1564,04,08,15,26,27,29,30,02,27,29,04,26
1565,10,15,28,29,33,35,21,02,35,10,33,15
1566,08,10,18,23,28,34,37,05,34,18,10,08
1567,04,05,11,14,31,36,39,01,36,11,05,14
1568,21,22,23,24,26,40,28,02,21,23,26,24
1569,02,03,06,10,14,26,11,07,03,10,06,02
1570,11,19,27,28,29,36,32,10,27,36,19,29
1571,14,15,17,32,38,39,40,03,17,38,14,15
1572,04,06,07,09,15,25,34,09,15,09,06,25
1573,16,21,28,31,33,37,32,07,37,21,28,33
1574,18,24,25,27,32,34,07,04,34,25,24,18
1575,07,22,29,32,36,39,18,05,39,07,32,22
1576,05,10,11,15,18,38,06,01,11,18,05,10
1577,03,08,14,18,23,40,13,02,03,14,40,18
1578,06,16,22,25,34,40,37,04,40,06,22,25
1579,10,11,17,21,31,34,15,10,17,11,31,34
1580,11,14,17,27,32,39,34,04,39,14,27,17
1581,03,05,15,27,37,38,32,04,38,15,03,27
1582,07,11,16,23,26,30,27,01,16,07,11,26
1583,11,12,24,30,36,37,06,07,24,36,12,37
1584,02,19,22,23,28,29,17,10,19,29,02,23
1585,01,05,11,12,14,15,35,07,12,14,11,05
1586,08,15,20,29,35,39,21,05,08,15,20,35
1587,09,18,20,21,28,30,15,06,30,21,28,20
1588,17,19,20,21,26,35,04,07,20,21,35,19
1589,03,04,06,11,28,29,32,07,29,04,03,11
1590,15,19,22,23,30,36,31,09,22,19,30,23
1591,02,09,13,25,29,36,11,06,29,25,09,36
1592,03,11,16,24,38,40,35,07,24,16,03,40
1593,01,03,21,22,29,30,05,06,03,21,22,01
1594,04,13,27,32,33,38,35,02,27,33,38,32
1595,04,07,11,17,32,37,13,03,32,07,04,11
1596,10,13,17,20,23,28,09,07,28,20,10,23
1597,01,02,06,07,30,40,36,10,06,02,01,30
1598,17,19,23,29,31,36,13,09,17,29,36,31
1599,11,26,29,32,33,37,09,01,37,33,26,11
1600,05,06,10,15,28,37,29,09,15,06,37,10
1601,10,12,19,24,26,34,16,10,10,12,24,26
1602,14,19,24,33,35,36,27,09,19,14,33,24
